FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/CILINDRO NC;2-56 x 3/16|2-56 x 1/4|2-56 x 3/8|2-56 x 1/2|2-56 x 3/4|3-48 x 1/4|3-48 x 3/8|3-48 x 1/2|3-48 x 3/4|4-40 x 3/16|4-40 x 1/4|4-40 x 5/16|4-40 x 3/8|4-40 x 1/2|4-40 x 5/8|4-40 x 3/4|4-40 x 1|5-40 x 1/4|5-40 x 3/8|5-40 x 1/2|5-40 x 5/8|5-40 x 3/4|5-40 x 1|5-40 x 1.1/4|5-40 x 1.1/2|5-40 x 2|6-32 x 1/4|6-32 x 5/16|6-32 x 3/8|6-32 x 1/2|6-32 x 5/8|6-32 x 3/4|6-32 x 1|6-32 x 1.1/4|6-32 x 1.1/2|6-32 x 2|8-32 x 1/4|8-32 x 3/8|8-32 x 1/2|8-32 x 5/8|8-32 x 3/4|8-32 x 1|8-32 x 1.1/4|8-32 x 1.1/2|8-32 x 2|8-32 x 2.1/2|8-32 x 3|10-24 x 3/8|10-24 x 1/2|10-24 x 5/8|10-24 x 3/4|10-24 x 7/8|10-24 x 1|10-24 x 1.1/4|10-24 x 1.1/2|10-24 x 1.3/4|10-24 x 2|10-24 x 2.1/4|10-24 x 2.1/2|10-24 x 2-3/4|10-24 x 3|10-24 x 3.1/2|10-24 x 4|1/4-20 x 3/8|1/4-20 x 1/2|1/4-20 x 5/8|1/4-20 x 3/4|1/4-20 x 7/8|1/4-20 x 1|1/4-20 x 1.1/4|1/4-20 x 1.1/2|1/4-20 x 1.3/4|1/4-20 x 2|1/4-20 x 2.1/4|1/4-20 x 2.1/2|1/4-20 x 2.3/4|1/4-20 x 3|1/4-20 x 3.1/2|1/4-20 x 4|1/4-20 x 4.1/2|1/4-20 x 5|1/4-20 x 5.1/2|1/4-20 x 6|5/16-18 x 3/8|5/16-18 x 1/2|5/16-18 x 5/8|5/16-18 x 3/4|5/16-18 x 7/8|5/16-18 x 1|5/16-18 x 1.1/4|5/16-18 x 1.1/2|5/16-18 x 1.3/4|5/16-18 x 2|5/16-18 x 2.1/4|5/16-18 x 2.1/2|5/16-18 x 2.3/4|5/16-18 x 3|5/16-18 x 3.1/2|5/16-18 x 4|5/16-18 x 4.1/2|5/16-18 x 5|5/16-18 x 5.1/2|5/16-18 x 6|5/16-18 x 7|5/16-18 x 8|3/8-16 x 1/2|3/8-16 x 5/8|3/8-16 x 3/4|3/8-16 x 7/8|3/8-16 x 1|3/8-16 x 1.1/4|3/8-16 x 1.1/2|3/8-16 x 1.3/4|3/8-16 x 2|3/8-16 x 2.1/4|3/8-16 x 2.1/2|3/8-16 x 2.3/4|3/8-16 x 3|3/8-16 x 3.1/2|3/8-16 x 4|3/8-16 x 4.1/2|3/8-16 x 5|3/8-16 x 5.1/2|3/8-16 x 6|3/8-16 x 6.1/2|3/8-16 x 7|3/8-16 x 8|3/8-16 x 9|3/8-16 x 10|7/16-14 x 1/2|7/16-14 x 3/4|7/16-14 x 1|7/16-14 x 1.1/4|7/16-14 x 1.1/2|7/16-14 x 1.3/4|7/16-14 x 2|7/16-14 x 2.1/2|7/16-14 x 3|7/16-14 x 3.1/2|7/16-14 x 4|7/16-14 x 4.1/2|7/16-14 x 5|7/16-14 x 6|7/16-14 x 7|1/2-13 x 1/2|1/2-13 x 3/4|1/2-13 x 1|1/2-13 x 1.1/4|1/2-13 x 1.1/2|1/2-13 x 1.3/4|1/2-13 x 2|1/2-13 x 2.1/4|1/2-13 x 2.1/2|1/2-13 x 2.3/4|1/2-13 x 3|1/2-13 x 3.1/4|1/2-13 x 3.1/2|1/2-13 x 3.3/4|1/2-13 x 4|1/2-13 x 4.1/2|1/2-13 x 5|1/2-13 x 5.1/2|1/2-13 x 6|1/2-13 x 6.1/2|1/2-13 x 7|1/2-13 x 7-1/2|1/2-13 x 8|1/2-13 x 9|1/2-13 x 10|1/2-13 x 11|1/2-13 x 12|9/16-12 x 1|9/16-12 x 1.1/4|9/16-12 x 1.1/2|9/16-12 X 1.3/4|9/16-12 x 2|9/16-12 x 2.1/2|9/16-12 x 3|9/16-12 x 3-1/2|9/16-12 x 4|9/16-12 x 5|9/16-12 x 6|5/8-11 x 1|5/8-11 x 1.1/4|5/8-11 x 1.1/2|5/8-11 x 1.3/4|5/8-11 x 2|5/8-11 x 2.1/4|5/8-11 x 2.1/2|5/8-11 x 2.3/4|5/8-11 x 3|5/8-11 x 3.1/4|5/8-11 x 3.1/2|5/8-11 x 3.3/4|5/8-11 x 4|5/8-11 x 4.1/2|5/8-11 x 5|5/8-11 x 5.1/2|5/8-11 x 6|5/8-11 x 6.1/2|5/8-11 x 7|5/8-11 x 7-1/2|5/8-11 x 8|5/8-11 x 9|5/8-11 x 10|5/8-11 x 12|3/4-10 x 3/4|3/4-10 x 1|3/4-10 x 1.1/4|3/4-10 x 1.1/2|3/4-10 x 1.3/4|3/4-10 x 2|3/4-10 x 2.1/4|3/4-10 x 2.1/2|3/4-10 x 2.3/4|3/4-10 x 3|3/4-10 x 3.1/4|3/4-10 x 3.1/2|3/4-10 x 3.3/4|3/4-10 x 4|3/4-10 x 4.1/2|3/4-10 x 5|3/4-10 x 5.1/2|3/4-10 x 6|3/4-10 x 6.1/2|3/4-10 x 7|3/4-10 x 7-1/2|3/4-10 x 8|3/4-10 x 9|3/4-10 x 10|3/4-10 x 11|3/4-10 x 12|7/8-9 x 2|7/8-9 x 2.1/4|7/8-9 x 2.1/2|7/8-9 x 2.3/4|7/8-9 x 3|7/8-9 x 3.1/2|7/8-9 x 4|7/8-9 x 4.1/2|7/8-9 x 5|7/8-9 x 5.1/2|7/8-9 x 6|7/8-9 x 6-1/2|7/8-9 x 7|7/8-9 x 8|7/8-9 x 10|7/8-9 x 11|7/8-9 x 12|1-8 x 1-1/2|1-8 x 1-3/4|1-8 x 2|1-8 X 2.1/4|1-8 x 2.1/2|1-8 x 2.3/4|1-8 x 3|1-8 x 3.1/2|1-8 x 4|1-8 x 4.1/2|1-8 x 5|1-8 x 5.1/2|1-8 x 6|1-8 x 6.1/2|1-8 x 7|1-8 X 7.1/2|1-8 x 8|1-8 x 9|1-8 x 10|1-8 x 11|1-8 x 12|1-8 x 13|1-8 x 14|1-8 x 15|1.1/8-7 X 3|1.1/8-7 X 3.1/2|1.1/8-7 X 4|1.1/8-7 X 4.1/2|1.1/8-7 X 5|1.1/8-7 X 5.1/2|1.1/8-7 X 6|1.1/8-7 X 7|1.1/8-7 X 8|1.1/8-7 X 9|1.1/8-7 X 10|1.1/8-7 X 11|1.1/8-7 X 12|1-1/4-7 x 1-3/4|1-1/4-7 x 2.1/2|1-1/4-7 x 3|1-1/4-7 x 3.1/2|1-1/4-7 x 4|1-1/4-7 x 4.1/2|1-1/4-7 x 5|1-1/4-7 x 5.1/2|1-1/4-7 x 6|1-1/4-7 x 6.1/2|1-1/4-7 x 7|1-1/4-7 x 7-1/2|1-1/4-7 x 8|1-1/4-7 x 9|1-1/4-7 x 10|1-1/4-7 x 11|1-1/4-7 x 12|1-1/2-6 x 2-1/2|1-1/2-6 x 3|1-1/2-6 x 3.1/2|1-1/2-6 x 4|1-1/2-6 x 4.1/2|1-1/2-6 x 5|1-1/2-6 x 5.1/2|1-1/2-6 x 6|1-1/2-6 x 6.1/2|1-1/2-6 x 7|1-1/2-6 x 7-1/2|1-1/2-6 x 8|1-1/2-6 x 9|1-1/2-6 x 10|1-1/2-6 x 11|1-1/2-6 x 12
Otros;Sensor arbol;Sensor arbol levas Dodge Attitude, Verna, Hyundai Accent 01-09;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA GALAXY 10 x 1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA PH PLANA NGRA 10 X 2.1/2;N/A
Otros;ROND MM;ROND MM PRESION NEGRA M16;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 1/4-20;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/2 X 4.1/4;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 1/2 X 7;N/A
Otros;1 1/8;1 1/8 -16 R. Del. Dina 800 Kenworth EXTRA-PESADO;N/A
Birlos;"5/8-18 X;"5/8-18 X 3"" Birlo -Ford-AGRICOLA";N/A
Otros;JGO. LLAVES;JGO. LLAVES HEX FRACC. HANDY XLARGA 13 PZAS;N/A
Otros;LLAVE MIXTA;LLAVE MIXTA HANDY M11;7/16 - E14
Tuercas;"TUERCA GRIPCO;"TUERCA GRIPCO GRADO ""C"" NF 1/4-28";N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 5/8 x 6;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 1/8-40;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA LATON 3/4;N/A
Otros;34 CASQUILLO;34 CASQUILLO 3/8 NC X 1/2 NF;N/A
Herramientas;"BROCA SDS;"BROCA SDS TWISTER PLUS;1/4"" X 4"""|1/4"" X 6"""|1/4"" X 12"""|5/16"" X 6"""|5/16"" X 12"|3/8"" X 6"""|3/8"" X 12"""|1/2"" X 6"""|1/2"" X 12"""|5/8"" x 8"""|3/4"" x 6"""|3/4"" x 12"""|7/8"" x 12"""|1"" x 12"""
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/8-16 X 3.1/2;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 12 X 2.1/2;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M8-1.25 X 16;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 8 X 1.1/4;N/A
Otros;Hilo Monofilamento;Hilo Monofilamento Blanco;0.25 mm|0.30 mm|0.35 mm|0.40 mm|0.45 mm|0.50 mm|0.60 mm|0.70 mm|0.80 mm|0.90 mm|1.00 mm
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 14 X 100;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/2-13 X 1.1/2;N/A
Varillas;VARILLA ACME-LARGO;VARILLA ACME-LARGO 1 MT 1-1/4-4;N/A
Otros;98CASQUILLO 5/16-18;98CASQUILLO 5/16-18 X 9/16-12 NC;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA 3/8-24;N/A
Otros;EQUIPO PARA;EQUIPO PARA DIAGNOSTICO, BOMBAS DE GASOLINA ELECTRICAS;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/8-9 X 7;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 14 X 2;N/A
Otros;Bobina ignicion;Bobina ignicion VW Bora, Jetta, Audi, Tiguan, Passat, Seat Leon (UF575;N/A
Pijas;PIJA LAMINA;PIJA LAMINA FIJAD RAN 6 X 3/4;N/A
Otros;NUDO 5/16;NUDO 5/16;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 14 X 1-1/4;N/A
Otros;ROND PRESION;ROND PRESION NEGRA EMP 1/4;N/A
Otros;ARMELLA CERRADA;ARMELLA CERRADA 22 X 90;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 7/16-14 X 2.1/2;N/A
Tuercas;TUERCA ACME;TUERCA ACME MAQUINADA 2-1/4-4;N/A
Tornillos;TORNILLO CABEZA/GOTA;TORNILLO CABEZA/GOTA RANURADO INOXIDABLE 304;6-32 X 2|10-24 x 3|5/16-18 x 1/2|5/16-18 x 1-1/4|5/16-18 x 2|5/16-18 x 2-1/2|5/16-18 x 3|3/8-16 x 1/2|3/8-16 x 3/4
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 1;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA EMP 3/4-10;N/A
Tuercas;"TUERCA CROMADA;"TUERCA CROMADA RIN DE ACERO ""CODIGO K ALTA"" 1/2-20";N/A
Otros;INSERTO NF;INSERTO NF DE ACERO INOXIDABLE-304 M12-1.50 X 1.5;N/A
Herramientas;MACHUELO P/INSERTO;MACHUELO P/INSERTO M2 HSS 1/4-20;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA 10 X 1.1/4;N/A
Otros;SENSOR VELOCIDAD;SENSOR VELOCIDAD CHEVROLET AVEO, PONTIAC G3 (SC353);N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 1/2-13 X 2-1/2;N/A
Pijas;PIJA FRAMER;PIJA FRAMER PUNTA AGUDA NGRA 7 X 7/16;N/A
Otros;ROND MM;ROND MM PRESION NEGRA M6;N/A
Otros;Lente de;Lente de Seguridad Transparente Galaxy;N/A
Otros;ARMELLA ABIERTA;ARMELLA ABIERTA 24 X 120;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/2-13 X 3;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 10 X 1;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE GR-8 1/2-13 X 1;N/A
Otros;Sensor cigüeñal;Sensor cigüeñal Nissan Platina, Renault Scienic, Autom. 03-12 4Cil;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 10-24 X 1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/8-11 X 8;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB EMP 12 X 2.1/2;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M8-1.25 X 35;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1-8 X 3.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 14 X 4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-2 NEGRA EMP 7/8-9;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 5/16-18 X 1;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1 X 7;N/A
Otros;PERNO RANURADO;PERNO RANURADO 3/16 x 5/8;N/A
Tuercas;TUERCA CROMADA;TUERCA CROMADA CON ROND INTEGRADA P/TOYOTA M12X1.5;CORTA NUEVO|LARGA NUEVO
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC GALVANIZADA EMP 9/16-12;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 5/16-18 X 1;N/A
Otros;Hilo Monofilamento;Hilo Monofilamento Verde;0.25 mm|0.30 mm|0.35 mm|0.40 mm|0.45 mm|0.50 mm|0.60 mm|0.70 mm|0.80 mm|0.90 mm|1.00 mm
Otros;74 CASQUILLO;74 CASQUILLO 9/16-12 NC X 3/4-16 NF;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO 3/4 X 2.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/8 X 6-1/2;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL P/BROCA CABEZA/ACC INT TROPICALIZADO 14 X 1-1/2 GALAXY;N/A
Otros;BOMBA GAS;BOMBA GAS HONDA CRV ACCORD TOYOTA SIST. DENSO 4CIL 0307;N/A
Otros;"1/2-20 x;"1/2-20 x 2.000"". Remolques Nacionales. Del./Tras.";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/8-16 X 1-1/2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 3/4-10 X 4.1/2;N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NC 3/4-10;N/A
Pijas;PIJA MADERA;PIJA MADERA COMB PLANA NGRA CUADRO CHICO 8 X 2;N/A
Otros;ROND PRESION;ROND PRESION 7/16;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL MM INOXIDABLE 304 CABEZA/C;M30 X 110|M30 X 120|M30 X 130|M30 X 140
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA PLUS 8 X 1;N/A
Otros;INSERTO DE;INSERTO DE ACERO INOXIDABLE-304 1/2-13 X 2.0;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA EMP 5/16-18;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 3/8-16 X 3/4;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 1/4-20 X 4;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 3/8-16 X 9;N/A
Pijas;PIJA PARA;PIJA PARA LAMINA CAB PLANA EMP 14 X 1-1/4;N/A
Otros;VALVULA IAC;VALVULA IAC CHEVROLET TBI SILVERADO, SUBURBAN (82-97);N/A
Herramientas;"Broca HSS;"Broca HSS M 35 Cobalto 5% 135°3/8""";N/A
Tuercas;TUERCA HEX;TUERCA HEX LATON 5/16-18;N/A
Varillas;VARILLA G-5;VARILLA G-5 ROSCA PAVONADA 1.1/8-7 X 1MT;N/A
Otros;PERNO ROSCAADO;PERNO ROSCAADO M8 X 25;N/A
Pijas;PIJA CABEZA/PLANA;PIJA CABEZA/PLANA PH BROCA  EMP 10 X 1/2;N/A
Otros;TAQUETE DE;TAQUETE DE PLASTICO 3/8;N/A
Tuercas;TUERCA LARGA;TUERCA LARGA CROMADA 1/2-20;N/A
Otros;"Flexometro Industrial;"Flexometro Industrial 8M x 1"" Handycraft";N/A
Otros;ROND PRESION;ROND PRESION 3/4;N/A
Birlos;M22x1.5x80 Birlo;M22x1.5x80 Birlo Automotriz (Eq. 21220132-R);N/A
Tuercas;TUERCA INS;TUERCA INS NYLON NC 1/4-20;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/8-16 X 3;N/A
Tornillos;TORNILLO CABEZA/PLANA;TORNILLO CABEZA/PLANA RANURA MM INOXIDABLE 304;M 6 x 10|M 6 x 30|M 6 x 35|M 8 x 12|M 8 x 20|M 8 x 30|M 8 x 35|M 8 x 40|M12 X 30
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 1 X 2.1/2;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA HONDA CIVIC, MDX, CRX, CR-V (TX37);N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 LIG 1 METRO NC 5/8-11;N/A
Otros;INSERTO NFF;INSERTO NFF DE ACERO INOXIDABLE-304 M10-1.00 X 1.5;N/A
Otros;m14 x;m14 x 2 x 66 DEL Ford Triton F-350,450;N/A
Tuercas;TUERCA MM;TUERCA MM HEX DIN NF M18-1.50;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 7/16-14 X 1.3/4;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA KG EMP 1.1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NC NEGRA 1/2-13;N/A
Birlos;BIRLO AUTOMOTRIZ;BIRLO AUTOMOTRIZ M12-1.25 X 36.00 GR8;N/A
Pijas;PIJA P/MADERA;PIJA P/MADERA CAB HEX 1/2 X 3;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5-40 X 2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 7/8-9 X 4-1/2;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M8-1.25 X 45;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 5/8-11 X 3-1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 5/16-18 X 3.1/2;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 3/8 X 3;N/A
Tuercas;TUERCA ESTRELLA;TUERCA ESTRELLA G2 1/4-20;N/A
Tornillos;TORNILLO ALL;TORNILLO ALL CIL CAB/BAJA M12-1.75 X 60;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 10-24 X 2;N/A
Otros;Regulador presion;Regulador presion Ford F350 HD, Freestar, Expedition, Mustang, 04-11;N/A
Tornillos;TORNILLO SOCKET;TORNILLO SOCKET CABEZA/GUIA;1/4 x 1/4|1/4 x 3/8|1/4 x 1/2|1/4 x 5/8|1/4 x 3/4|1/4 x 1|1/4 x 1.1/4|1/4 x 1.1/2|1/4 x 1.3/4|1/4 x 2|1/4 x 2.1/4|1/4 x 2.1/2|1/4 x 2.3/4|1/4 x 3 NVO|1/4 x 3.1/2 NVO|1/4 x 4|5/16 x 3/8|5/16 x 1/2|5/16 x 5/8|5/16 x 3/4|5/16 x 7/8|5/16 x 1|5/16 x 1.1/4|5/16 x 1.1/2|5/16 x 1.3/4|5/16 x 2|5/16 x 2.1/4|5/16 x 2.1/2|5/16 x 2.3/4|5/16 x 3|5/16 x 3.1/2|5/16 x 4|3/8 x 3/8|3/8 x 1/2|3/8 x 5/8|3/8 x 3/4|3/8 x 7/8|3/8 x 1|3/8 x 1.1/4|3/8 x 1.1/2|3/8 x 1.3/4|3/8 x 2|3/8 x 2.1/4|3/8 x 2.1/2|3/8 x 2.3/4|3/8 x 3|3/8 x 3.1/4|3/8 x 3.1/2|3/8 x 3.3/4|3/8 x 4|3/8 x 4.1/2|3/8 x 5|7/16 x 4|1/2 x 3/8|1/2 x 1/2|1/2 x 5/8|1/2 x 3/4|1/2 x 1|1/2 x 1.1/4|1/2 x 1.1/2|1/2 x 1.3/4|1/2 x 2|1/2 x 2.1/4|1/2 x 2.1/2|1/2 x 2.3/4|1/2 x 3|1/2 x 3.1/4|1/2 x 3.1/2|1/2 x 3.3/4|1/2 x 4|1/2 x 4.1/4|1/2 x 4.1/2|1/2 x 4.3/4|1/2 x 5|1/2 x 6|5/8 x 3/4|5/8 x 7/8|5/8 x 1|5/8 x 1.1/4|5/8 x 1.1/2|5/8 x 1.3/4|5/8 x 2|5/8 x 2.1/4|5/8 x 2.1/2|5/8 x 2.3/4|5/8 x 3|5/8 x 3.1/4|5/8 x 3.1/2|5/8 x 3.3/4|5/8 x 4|5/8 x 4.1/4|5/8 x 4.1/2|5/8 x 4.3/4|5/8 x 5|5/8 x 5.1/2|5/8 x 6|3/4 x 3/4|3/4 x 1|3/4 x 1.1/4|3/4 x 1.1/2|3/4 x 1.3/4|3/4 x 2|3/4 x 2.1/4|3/4 x 2.1/2|3/4 x 2.3/4|3/4 x 3|3/4 x 3.1/4|3/4 x 3.1/2|3/4 x 3.3/4|3/4 x 4|3/4 x 4.1/4|3/4 x 4.1/2|3/4 x 4.3/4|3/4 x 5|3/4 x 5.1/2|3/4 x 6|1 x 1.1/4|1 x 1.1/2|1 x 1.3/4|1 x 2|1 x 2.1/4|1 x 2.1/2|1 x 2.3/4|1 x 3|1 x 3.1/2|1 x 4|1 x 4.1/2|1 x 5
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA 14 X 6;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA INOXIDABLE 316;1/4|5/16|3/8|7/16|1/2|5/8|3/4|7/8|1|1-1/8|1-1/4|1-1/2
Otros;"1 1/8;"1 1/8;16 x 3"" 22070-C17-L EXTRA-PESADO"|16 x 3.469"" Kenworth Eje FE-970/977"
Tuercas;CONTRATUERCA GR-2;CONTRATUERCA GR-2;1/4-20|5/16-18|3/8-16|1/2-13|5/8-11
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 1 METRO NC 5/8-11;N/A
Tuercas;TUERCA REMACHABLE;TUERCA REMACHABLE T. EUROPEO TROP. 10-24;N/A
Otros;PERNO AGRICOLA;PERNO AGRICOLA 7/8 X 4-1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 3/8-16 X 3;N/A
Otros;TAQUETE ARPON;TAQUETE ARPON INOXIDABLE-304 5/8 x 8-1/2;N/A
Otros;VALVULA IAC;VALVULA IAC VOLKSWAGEN POINTER, PICK UP / PLASTICA (00-06);N/A
Tornillos;TORNILLO CAB;TORNILLO CAB GOTA COMBI 5/32-32 X 3/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-8 NC NEGRA 1-1/4-7;N/A
Tuercas;TUERCA REMACHABLE;TUERCA REMACHABLE T. AMERICANO TROP. 5/16-18;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 5/32 X 2;N/A
Otros;"MATRACA CAB.;"MATRACA CAB. PERA CABEZA/BOTADOR HANDY;3/8"""|1/2"""
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA GALAXY 10 x 1;N/A
Tuercas;"TUERCA MADERA;"TUERCA MADERA ""E"" NC 1/4-20 X 13";N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 5/16-18 X 1;N/A
Otros;PERNO RANURADO;PERNO RANURADO 5/16 x 1;N/A
Varillas;VARILLA ROSCA;VARILLA ROSCA GR-2 3 METROS nc 1.1/8-7;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA 1/4-20 X 1.3/4;N/A
Tuercas;Tuerca Conica;Tuerca Conica Agrico 11/16-16;N/A
Varillas;VARILLA ACME-LARGO;VARILLA ACME-LARGO 1 MT 1/2-10;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA HONDA CIVIC, FIT, CR-V, HR-V (TX97);N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL GR-5 EMP;1/4-20 X 1/2|1/4-20 X 3/4|1/4-20 X 1|1/4-20 X 1-1/2|1/4-20 X 2|1/4-20 X 2-1/2|1/4-20 X 3|5/16-18 X 3/4|5/16-18 X 1|5/16-18 X 1-1/2|5/16-18 X 2|5/16-18 X 2-1/2|5/16-18 X 3|3/8-16 X 1|3/8-16 X 1-1/4|3/8-16 X 1-1/2|3/8-16 X 2|3/8-16 X 2-1/2|3/8-16 X 3-1/2|3/8-16 X 4|7/16-14 X 1-1/2|7/16-14 X 2|1/2-13 X 1|1/2-13 X 1-1/4|1/2-13 X 1-1/2|1/2-13 X 2|1/2-13 X 2-1/2|1/2-13 X 3|1/2-13 X 3-1/2|1/2-13 X 4|1/2-13 X 4-1/2|1/2-13 X 5|1/2-13 X 5-1/2|5/8-11 X 1-1/2|5/8-11 X 2|5/8-11 X 2-1/2|5/8-11 X 3|5/8-11 X 3-1/2|5/8-11 X 4|5/8-11 X 5|5/8-11 X 5-1/2|5/8-11 X 6|3/4-10 X 1-1/2|3/4-10 X 2|3/4-10 X 2-1/2|3/4-10 X 3|3/4-10 X 3-1/2|3/4-10 X 4|3/4-10 X 4-1/2|3/4-10 X 5
Rondanas;RONDANA PLANA;RONDANA PLANA;#8 NUEVO|3/16|1/4|5/16|3/8|7/16|1/2|9/16|5/8|3/4|7/8|1|1-1/8|1-1/4|1-3/8|1-1/2
Birlos;CONO PARA;CONO PARA BIRLO DE FLECHA 3/8;N/A
Otros;B.A. 3/4;B.A. 3/4 X 3 ROSCAA ESTANDAR CORTA Y LARGA;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 3;N/A
Otros;BOMBA GAS;BOMBA GAS CHEVROLET AVALANCHE SILVERADO DENALI 8CIL 0212;N/A
Otros;Sensor maf;Sensor maf Nissan PickUp, Tsuru, Altima, Maxima, 99-08;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA EMP 7/16-14 X 2;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/8-11 X 4-1/2;N/A
Otros;"1/2-20 x;"1/2-20 x 1.825"" Remolque Eje Recto Sencillo ,2000";N/A
